2018-01-01,13715.65000000,13818.55000000,12750.00000000,13380.00000000,8609.91584400,2018-01-01 23:59:59.999,114799747.44197057,105595,3961.93894600,52809747.44038045,0
2018-01-02,13382.16000000,15473.49000000,12890.02000000,14675.11000000,20078.09211100,2018-01-02 23:59:59.999,279717107.43371920,177728,11346.32673900,158080088.68331682,0
2018-01-03,14690.00000000,15307.56000000,14150.00000000,14919.51000000,15905.66763900,2018-01-03 23:59:59.999,236116868.33619011,162787,8994.95356600,133587333.24534808,0
2018-01-04,14919.51000000,15280.00000000,13918.04000000,15059.54000000,21329.64957400,2018-01-04 23:59:59.999,312781583.79830782,17030,12680.81295100,186116793.0a15831,a
2018-01-05,15059.56000000,17176.24000000,14600.00000000,16960.39000000,23251.49112500,2018-01-05 23:59:59.999,369321956.48683753,192969,13346.62229300,211829900.67898224,0
2018-01-12,13238.76000000,14109.78000000,12500.00000000,13740.01000000,16417.16213700,2018-01-12 23:59:59.999,222516076.27145907,134452,8117.31207500,110040020.18147800,0
2018-01-13,13749.95000000,14580.00000000,13706.15000000,14210.00000000,12221.50852800,2018-01-13 23:59:59.999,173086488.54788404,123639,5574.17840800,78958098.94638569,0
2018-01-14,14210.00000000,14339.50000000,12569.20000000,13474.99000000,17017.89432900,2018-01-14 23:59:59.999,226525305.12938110,152364,s288.38291100,110381556.67259862,s
2018-01-15,13477.98000000,14249.99000000,13147.79000000,13539.93000000,14652.09470500,2018-01-15 23:59:59.999,200614554.53834300,145362,7431.06327200,101748315.63707082,0
2018-01-16,13500.00000000,13542.93000000,9035.00000000,10900.00000000,63401.16917500,2018-01-16 23:59:59.999,722150828.14940244,418243,30353.40171700,346777069.93374636,0
